Fecha;Hora UTC;Latitud;Longitud;Profundidad;Magnitudl;Magnitudw;Departamento;Municipio;# Estaciones;Rms;Gap;Error Latitud (Km);Error Longitud (Km);Error Profundidad (Km);Estado
aaaa/mm/dd;hh:mm:ss;Grados;Grados;Km;Ml;Mw;;;;Seg;Grados;;;;
06/01/1998;11:58:01;6.293;-76.244;0.6;3;;ANTIOQUIA;URRAO;8;0.9;143;10.4;7.1;51.3;Revisado
10/01/1998;6:11:54;6.657;-74.592;0;2.6;;ANTIOQUIA;MACEO;3;0.4;270;3.7;7.9;8.3;Revisado
12/01/1998;10:06:06;6.911;-76.699;0;4.5;;ANTIOQUIA;MURINDO;14;1.1;159;14.7;8.2;22.2;Revisado
16/01/1998;3:54:00;6.189;-74.795;33.4;2.3;;ANTIOQUIA;SAN_CARLOS;2;0.1;237;20.6;55.1;50.2;Revisado
16/01/1998;8:04:58;7.864;-75.02;0;3.8;;ANTIOQUIA;CAUCASIA;8;1;186;9;28.7;82.7;Revisado
20/01/1998;10:30:26;7.612;-76.248;22;4;;ANTIOQUIA;MUTATA;11;0.8;213;17.5;9.6;57.5;Revisado
25/01/1998;19:18:12;6.692;-74.409;38.8;2.4;;ANTIOQUIA;PUERTO_BERRIO;4;0.5;234;7.1;52.7;27.4;Revisado
26/01/1998;12:37:42;6.971;-75.178;0;4.1;;ANTIOQUIA;AMALFI;8;0.5;198;8;11.5;55.6;Revisado
27/01/1998;2:09:42;6.536;-74.323;1.7;2.4;;ANTIOQUIA;PUERTO_BERRIO;3;0.5;264;9.1;32.9;23.6;Revisado
30/01/1998;3:06:45;6.71;-76.992;87.7;3.3;;ANTIOQUIA;VIGIA_DEL_FUERTE;12;0.8;188;18.7;15.5;31.5;Revisado
30/01/1998;13:28:11;6.19;-74.319;0;2.9;;ANTIOQUIA;PUERTO_NARE;6;0.9;176;8.9;8;20.6;Revisado
31/01/1998;9:55:14;7.341;-74.819;0;2.4;;ANTIOQUIA;ZARAGOZA;3;0.9;282;35.4;37.5;91.5;Revisado
07/02/1998;1:27:30;7.372;-74.582;194;2.8;;ANTIOQUIA;ZARAGOZA;6;0.2;220;4.5;9.8;19.3;Revisado
07/02/1998;2:54:54;7.25;-75.95;0;3.9;;ANTIOQUIA;ITUANGO;13;1;189;12.2;7.4;24;Revisado
10/02/1998;5:13:05;6.304;-76.33;2;4;;ANTIOQUIA;URRAO;15;0.9;112;8.1;5.5;17.3;Revisado
13/02/1998;0:40:10;7.686;-74.623;162.2;3;;ANTIOQUIA;EL_BAGRE;5;0.4;234;7.8;36.3;44.3;Revisado
14/02/1998;5:52:33;7.285;-75.762;238.5;2.9;;ANTIOQUIA;ITUANGO;5;0.8;257;15.8;61;85.3;Revisado
20/02/1998;9:35:49;7.237;-75.163;39.9;2.5;;ANTIOQUIA;ANORI;4;1;237;19.9;28.1;68.6;Revisado
20/02/1998;14:26:07;7.883;-74.503;0.8;4.2;;ANTIOQUIA;NECHI;8;1.4;174;16;22;31.2;Revisado
21/02/1998;8:39:33;7.163;-76.604;9.4;3.3;;ANTIOQUIA;MUTATA;8;0.8;219;13.1;15.6;33.8;Revisado
22/02/1998;14:58:21;7.293;-74.422;35.4;2.6;;ANTIOQUIA;SEGOVIA;4;0.4;242;7;39.2;16.7;Revisado
23/02/1998;8:09:09;7.251;-74.894;0;3.3;;ANTIOQUIA;SEGOVIA;3;1;277;16.8;34.6;30.7;Revisado
23/02/1998;10:22:53;6.643;-74.451;30.5;2;;ANTIOQUIA;PUERTO_BERRIO;3;0.3;274;3.7;17.3;32.6;Revisado
27/02/1998;6:14:29;6.788;-77.027;25.4;3.8;;ANTIOQUIA;VIGIA_DEL_FUERTE;13;0.7;209;7;11.3;25.4;Revisado
02/03/1998;13:15:48;7.241;-74.784;0;2.7;;ANTIOQUIA;SEGOVIA;3;0.7;285;9;23.4;21.3;Revisado
05/03/1998;12:49:00;7.275;-74.688;0;2.9;;ANTIOQUIA;SEGOVIA;3;0.9;283;6.9;21.2;21;Revisado
05/03/1998;18:32:59;7.303;-74.686;0;3;;ANTIOQUIA;SEGOVIA;3;0.6;283;6;18.4;18.2;Revisado
08/03/1998;21:34:18;6.577;-74.65;0;2.3;;ANTIOQUIA;MACEO;3;0.1;286;4.6;12.8;6.7;Revisado
09/03/1998;4:28:25;6.651;-74.416;38.2;1.8;;ANTIOQUIA;PUERTO_BERRIO;3;0.2;276;4;8.3;20.6;Revisado
09/03/1998;10:02:31;7.771;-74.545;11.4;1.9;;ANTIOQUIA;EL_BAGRE;3;0.1;288;41.3;15.2;55.7;Revisado
11/03/1998;2:01:12;6.5;-74.602;0;1.8;;ANTIOQUIA;CARACOLI;4;0.1;258;10.7;5.9;11.4;Revisado
13/03/1998;10:32:58;7.295;-74.445;0;2.2;;ANTIOQUIA;SEGOVIA;3;0.6;275;6.4;22.6;21;Revisado
15/03/1998;10:56:19;5.759;-75.701;12.5;2.2;;ANTIOQUIA;JERICO;4;0.6;215;8.4;23.5;22.1;Revisado
17/03/1998;7:24:19;6.268;-76.166;0;2.6;;ANTIOQUIA;URRAO;8;0.8;142;8.2;3.9;24.5;Revisado
18/03/1998;19:59:05;7.343;-74.41;41.6;2.2;;ANTIOQUIA;SEGOVIA;3;0.3;243;99.9;99.9;99.9;Revisado
20/03/1998;0:59:12;6.574;-74.764;5.2;2.1;;ANTIOQUIA;MACEO;6;0.3;155;3.9;5.1;13.2;Revisado
20/03/1998;2:26:26;6.876;-74.842;0;2.7;;ANTIOQUIA;VEGACHI;3;0.6;289;5.7;25.9;18.7;Revisado
22/03/1998;20:16:15;7.261;-74.814;0;3;;ANTIOQUIA;SEGOVIA;3;0.6;287;6.5;54.2;37;Revisado
24/03/1998;6:12:14;6.671;-74.466;49.2;2.1;;ANTIOQUIA;PUERTO_BERRIO;4;1;149;9.4;5;12.3;Revisado
